roll,times_appeared,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
2,284,0.0,5.0,25.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 1.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.0,126.13380281690141,138,0,0.0,0.0,0,0
3,512,0.0,4.0,16.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 1.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.0,126.609375,142,0,0.0,0.0,0,0
4,783,0.0,3.0,9.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 1.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.0,126.58365261813537,139,0,0,0.0,0,0
5,1141,0.0,2.0,4.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 1.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.0,126.47940403155127,143,0,0,0.0,0,0
6,1341,0.0,1.0,1.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 1.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.0,126.6055182699478,143,0,0,0.0,0,0
7,1676,1.0,0.0,0.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 1.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.0,126.57696897374701,140,0,0.0,0.0,0,0
8,1370,0.0,1.0,1.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 1.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.0,126.77445255474453,141,0,0.0,0.0,0,0
9,1212,0.0,2.0,4.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 1.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.0,126.57013201320132,140,0,0.0,0.0,0,0
10,861,0.0,3.0,9.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 1.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.0,126.38675958188153,142,0,0,0.0,0,0
11,538,0.0,4.0,16.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 1.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.0,126.50743494423791,140,0,0.0,0.0,0,0
12,282,0.0,5.0,25.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 1.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",0.0,126.47517730496453,142,0,0.0,0.0,0,0
