peek_average,times_appeared,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
5.0,37,0.0,7.972972972972973,63.86486486486486,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,126.70270270270271,134,-23.89189189189189,-24,2.2083652045974818,-28,-20
5.25,90,0.0,7.344444444444444,55.18888888888889,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,127.12222222222222,137,-21.377777777777776,-20.0,4.493635393663578,-28,-16
5.5,228,0.0,6.995614035087719,50.67982456140351,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,126.29824561403508,139,-19.982456140350877,-20.0,5.289808097816427,-28,-12
5.75,353,0.0,6.555240793201133,45.4957507082153,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,126.38243626062322,138,-18.22096317280453,-16,6.364578128319332,-28,-8
6.0,592,0.0,5.8800675675675675,37.72128378378378,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,126.6875,143,-15.52027027027027,-16.0,7.100887287180375,-28,-4
6.25,745,0.0,5.381208053691275,32.4255033557047,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,126.46711409395974,139,-13.5248322147651,-12,7.454142115819351,-28,0
6.5,1099,0.0,4.999090081892629,28.64240218380346,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,126.54231119199272,143,-11.99636032757052,-12,7.647039824037148,-28,4
6.75,1140,0.01929824561403509,4.578947368421052,25.13157894736842,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,126.47456140350877,139,-10.31578947368421,-12.0,8.166738886908771,-28,8
7.0,1307,0.029074215761285386,3.9556235654169853,19.491966335118594,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,126.50420811017598,142,-7.822494261667942,-8,7.846479622876143,-28,8
7.25,1135,0.04229074889867841,3.5876651982378855,16.486343612334803,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,126.63348017621145,142,-6.350660792951542,-8,7.608616032022906,-24,8
7.5,1066,0.0825515947467167,3.0609756097560976,12.695121951219512,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,126.57317073170732,146,-4.2439024390243905,-4.0,7.297860344083087,-20,8
7.75,817,0.11383108935128519,2.642594859241126,10.033047735618116,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,126.42227662178702,142,-2.570379436964504,0,6.989681048150249,-16,8
8.0,658,0.1641337386018237,2.1231003039513676,6.958966565349544,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,126.48024316109422,152,-0.49240121580547114,0.0,6.267558229359786,-12,8
8.25,359,0.16991643454038996,1.8050139275766017,4.818941504178273,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,126.66016713091922,140,0.7799442896935933,0,5.004359998171704,-8,8
8.5,215,0.14883720930232558,1.344186046511628,2.6,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,126.88372093023256,138,2.6232558139534885,4,3.5707035622661993,-4,8
8.75,99,0.25252525252525254,1.02020202020202,1.5656565656565657,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,125.64646464646465,133,3.919191919191919,4,2.912593232901257,0,8
9.0,60,0.43333333333333335,0.5666666666666667,0.5666666666666667,"{'2': 0.0, '3': 1.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",4.0,126.26666666666667,133,5.733333333333333,4.0,1.9988697371236328,4,8
