peek_average,times_appeared,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
5.0,55,0.0,6.909090909090909,48.14545454545455,"{'2': 0.0, '3': 0.0, '4': 1.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",3.0,126.63636363636364,139,-14.727272727272727,-15,1.9384467383902395,-18,-12
5.25,87,0.0,6.275862068965517,40.735632183908045,"{'2': 0.0, '3': 0.0, '4': 1.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",3.0,126.91954022988506,139,-12.827586206896552,-12,3.504836845725686,-18,-9
5.5,224,0.0,5.941964285714286,36.89732142857143,"{'2': 0.0, '3': 0.0, '4': 1.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",3.0,126.97321428571429,138,-11.825892857142858,-12.0,3.7917835536350055,-18,-6
5.75,349,0.0,5.492836676217765,32.55300859598854,"{'2': 0.0, '3': 0.0, '4': 1.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",3.0,126.40401146131805,140,-10.478510028653295,-12,4.636526898622719,-18,-3
6.0,644,0.0,4.970496894409938,27.619565217391305,"{'2': 0.0, '3': 0.0, '4': 1.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",3.0,126.65683229813665,140,-8.911490683229813,-9.0,5.124872257854052,-18,0
6.25,830,0.0,4.469879518072289,23.650602409638555,"{'2': 0.0, '3': 0.0, '4': 1.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",3.0,126.37951807228916,146,-7.409638554216867,-7.5,5.7512491842391436,-18,3
6.5,1062,0.03389830508474576,3.903954802259887,18.96421845574388,"{'2': 0.0, '3': 0.0, '4': 1.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",3.0,126.6035781544256,140,-5.711864406779661,-6.0,5.791526725967939,-18,6
6.75,1132,0.05565371024734982,3.5848056537102475,16.8321554770318,"{'2': 0.0, '3': 0.0, '4': 1.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",3.0,126.29946996466431,144,-4.754416961130742,-6.0,5.988622274112238,-18,6
7.0,1284,0.09735202492211838,3.0101246105919004,12.524143302180685,"{'2': 0.0, '3': 0.0, '4': 1.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",3.0,126.50077881619937,146,-3.0303738317757007,-3.0,5.585152864333624,-18,6
7.25,1134,0.11022927689594356,2.6984126984126986,10.544973544973544,"{'2': 0.0, '3': 0.0, '4': 1.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",3.0,126.58730158730158,142,-2.0952380952380953,-3.0,5.421974370782079,-15,6
