roll,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
2,0.0,2.0,4.0,"{'2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",3,126.27906976744185,139,0,0.0,0.0,0,0
3,0.0,1.0,1.0,"{'2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",3,126.66726296958855,141,3,3,0.0,3,3
4,1.0,0.0,0.0,"{'2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",3,126.32009080590238,140,6,6,0.0,6,6
5,0.0,1.0,1.0,"{'2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",3,126.59332732191163,146,3,3,0.0,3,3
6,0.0,2.0,4.0,"{'2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",3,126.66448326055313,146,0,0.0,0.0,0,0
7,0.0,3.0,9.0,"{'2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",3,126.46204819277108,141,-3,-3.0,0.0,-3,-3
8,0.0,4.0,16.0,"{'2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",3,126.49850968703427,140,-6,-6.0,0.0,-6,-6
9,0.0,5.0,25.0,"{'2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",3,126.51958224543081,140,-9,-9,0.0,-9,-9
10,0.0,6.0,36.0,"{'2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",3,126.7096018735363,144,-12,-12.0,0.0,-12,-12
11,0.0,7.0,49.0,"{'2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",3,126.42572463768116,140,-15,-15.0,0.0,-15,-15
12,0.0,8.0,64.0,"{'2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",3,126.79007633587786,140,-18,-18.0,0.0,-18,-18
