guess,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
3,0.25477707006369427,1.2770700636942676,2.8312101910828025,"{'2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",4,354.35668789808915,721,2.8917197452229297,4.0,4.389327192083269,-8,8
4,0.19794871794871796,1.4964102564102564,3.4964102564102566,"{'2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",3,334.6851282051282,771,1.5107692307692309,3,3.365429532385226,-9,6
5,0.17418677859391396,1.704616998950682,4.530430220356768,"{'2': 0, '3': 0, '4': 0, '5': 1, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,323.405036726128,1124,0.5907660020986358,0.0,2.5499521359963615,-8,4
6,0.16787878787878788,1.7806060606060605,5.048484848484849,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,318.6442424242424,1137,0.2193939393939394,0.0,1.3707901856720692,-4,2
7,0.17100371747211895,1.91243287897563,5.695993391160678,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 1, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",0,322.3824865757951,1145,0,0,0.0,0,0
8,0.20872641509433962,1.6320754716981132,4.273584905660377,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 0, '10': 0, '11': 0, '12': 0}",1,320.56014150943395,548,0.36792452830188677,1.0,1.269572875385565,-3,2
9,0.20440528634361232,1.5136563876651983,3.605286343612335,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 1, '10': 0, '11': 0, '12': 0}",2,324.9982378854626,1114,0.9726872246696036,2,2.293721455707087,-6,4
10,0.20670391061452514,1.3947858472998138,2.9590316573556796,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 1, '11': 0, '12': 0}",3,343.98324022346367,935,1.8156424581005586,3,3.023153378434053,-6,6
11,0.2850467289719626,1.0560747663551402,1.9065420560747663,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 1, '12': 0}",4,379.85046728971963,861,3.7757009345794392,4.0,3.5664277342152055,-4,8
