guess,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
3,0.3048780487804878,1.0284552845528456,1.8252032520325203,"{'2': 0, '3': 1, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",4,1310.3821138211383,3706,3.886178861788618,4.0,3.511388473634873,-4,8
4,0.19661458333333334,1.46484375,3.24609375,"{'2': 0, '3': 0, '4': 1, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",3,2209.3333333333335,7549,1.60546875,3.0,3.1489442843486772,-6,6
5,0.1792152704135737,1.6187698833510074,4.018557794273595,"{'2': 0, '3': 0, '4': 0, '5': 1, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,3669.61558854719,14177,0.7624602332979852,2.0,2.365488176971912,-6,4
6,0.17509293680297397,1.7033457249070632,4.627509293680298,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,5226.8959107806695,50606,0.2966542750929368,1.0,1.3140641365740342,-4,2
7,0.17058823529411765,1.911764705882353,5.735294117647059,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 1, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",0,5358.705882352941,17133,0,0.0,0.0,0,0
8,0.21939092604101926,1.5929148539465507,4.110006215040398,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 0, '10': 0, '11': 0, '12': 0}",1,4484.69422001243,17487,0.40708514605344936,1,1.2544347276382477,-3,2
9,0.20492721164613661,1.528555431131019,3.621500559910414,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 1, '10': 0, '11': 0, '12': 0}",2,3549.1797312430012,14176,0.9428891377379619,2.0,2.2678084155306006,-6,4
10,0.22535211267605634,1.3,2.5901408450704224,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 1, '11': 0, '12': 0}",3,1975.0619718309858,4238,2.1,3.0,2.848279118190471,-6,6
11,0.35555555555555557,0.8,1.1111111111111112,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 1, '12': 0}",4,1058.3111111111111,3662,4.8,4,2.7557267373138195,0,8
