peek_average,times_appeared,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
5.0,52,0.0,8.903846153846153,79.90384615384616,"{'2': 1.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",5.0,126.6923076923077,143,-34.51923076923077,-35.0,3.9925930667527023,-40,-30
5.25,89,0.0,8.617977528089888,75.35955056179775,"{'2': 1.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",5.0,126.42696629213484,138,-33.08988764044944,-35,5.249762872216667,-40,-25
5.5,243,0.0,7.91358024691358,64.45679012345678,"{'2': 1.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",5.0,126.73662551440329,141,-29.567901234567902,-30,6.781607853681469,-40,-20
5.75,351,0.0,7.475783475783476,58.46153846153846,"{'2': 1.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",5.0,126.08831908831908,138,-27.37891737891738,-30,8.033608687188377,-40,-15
6.0,634,0.0,7.069400630914826,52.84858044164038,"{'2': 1.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",5.0,126.44637223974763,146,-25.347003154574132,-25.0,8.480407612822091,-40,-10
6.25,771,0.0,6.604409857328145,47.45525291828794,"{'2': 1.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",5.0,126.80155642023347,144,-23.022049286640726,-25,9.800518483642435,-40,-5
6.5,1030,0.0,6.087378640776699,40.887378640776696,"{'2': 1.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",5.0,126.61844660194174,140,-20.436893203883496,-20.0,9.791479907236285,-40,0
6.75,1171,0.0,5.490179333902647,34.342442356959864,"{'2': 1.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",5.0,126.59180187873612,138,-17.450896669513238,-15,10.251784358277828,-40,5
7.0,1286,0.006220839813374806,5.034214618973562,29.3950233281493,"{'2': 1.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",5.0,126.63297045101089,140,-15.171073094867808,-15.0,10.0683409473075,-40,10
7.25,1123,0.016918967052537846,4.512021371326803,24.433659839715048,"{'2': 1.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",5.0,126.58860195903829,140,-12.560106856634016,-15,10.098211697595904,-35,10
