guess,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
5,0.0,5.64957264957265,33.01709401709402,"{'2': 0, '3': 0, '4': 0, '5': 1, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,179.76068376068375,191,-7.299145299145299,-8,2.1060870617011016,-10,-4
6,0.08506429277942631,2.8298714144411474,10.941971645235741,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,179.47378832838774,195,-0.8298714144411474,-1,1.7131161767117513,-4,2
7,0.20116214720531267,1.623962368566685,4.2360265633646925,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 1, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",0,179.21029330381847,196,0,0.0,0.0,0,0
8,0.09408341416100872,2.7293889427740057,10.38667959909473,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 0, '10': 0, '11': 0, '12': 0}",1,179.2460394439056,198,-0.7293889427740058,-1,1.7140786172687144,-4,2
9,0.0,5.6923076923076925,33.3986013986014,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 1, '10': 0, '11': 0, '12': 0}",2,179.54545454545453,188,-7.384615384615385,-8,2.003247634074135,-10,-4
