roll,times_appeared,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
2,253,0.0,10.0,100.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 1.0}",5.0,126.69169960474308,139,-40,-40,0.0,-40,-40
3,527,0.0,9.0,81.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 1.0}",5.0,126.72296015180265,141,-35,-35,0.0,-35,-35
4,843,0.0,8.0,64.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 1.0}",5.0,126.78173190984579,139,-30,-30,0.0,-30,-30
5,1152,0.0,7.0,49.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 1.0}",5.0,126.42881944444444,141,-25,-25.0,0.0,-25,-25
6,1328,0.0,6.0,36.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 1.0}",5.0,126.58433734939759,144,-20,-20.0,0.0,-20,-20
7,1685,0.0,5.0,25.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 1.0}",5.0,126.61780415430268,147,-15,-15,0.0,-15,-15
8,1410,0.0,4.0,16.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 1.0}",5.0,126.44964539007093,146,-10,-10.0,0.0,-10,-10
9,1101,0.0,3.0,9.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 1.0}",5.0,126.48228882833787,139,-5,-5,0.0,-5,-5
10,850,0.0,2.0,4.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 1.0}",5.0,126.56588235294117,142,0,0.0,0.0,0,0
11,540,0.0,1.0,1.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 1.0}",5.0,126.42592592592592,139,5,5.0,0.0,5,5
12,311,1.0,0.0,0.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 1.0}",5.0,126.38263665594856,141,10,10,0.0,10,10
