peek_average,times_appeared,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
5.0,41,0.24390243902439024,0.9024390243902439,1.1951219512195121,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 1.0}",5.0,127.46341463414635,139,5.487804878048781,5,3.123475237772121,0,10
5.25,97,0.20618556701030927,1.4948453608247423,3.350515463917526,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 1.0}",5.0,126.51546391752578,137,2.5257731958762886,5,5.309372184137285,-5,10
5.5,217,0.17050691244239632,1.8755760368663594,5.092165898617512,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 1.0}",5.0,126.6958525345622,138,0.6221198156682027,0,6.28822158251146,-10,10
5.75,383,0.1409921671018277,2.4595300261096606,8.684073107049608,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 1.0}",5.0,126.45169712793734,143,-2.297650130548303,0,8.126626761854244,-15,10
6.0,618,0.08737864077669903,3.088996763754045,12.535598705501618,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 1.0}",5.0,126.43042071197411,142,-5.444983818770226,-5.0,8.65816048768628,-20,10
6.25,827,0.07134220072551391,3.406287787182588,15.324062877871826,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 1.0}",5.0,126.45707376058041,147,-7.031438935912938,-5,9.651128889775205,-25,10
6.5,973,0.040082219938335044,3.94655704008222,19.247687564234326,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 1.0}",5.0,126.55704008221994,146,-9.732785200411099,-10,9.586648602729149,-30,10
6.75,1158,0.019861830742659757,4.469775474956822,24.018998272884282,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 1.0}",5.0,126.53108808290155,140,-12.348877374784111,-10.0,10.054349005072666,-35,10
7.0,1318,0.011380880121396054,5.009104704097117,28.96813353566009,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 1.0}",5.0,126.5485584218513,144,-15.045523520485585,-15.0,9.848791059665945,-40,10
7.25,1173,0.0,5.473998294970162,34.21227621483376,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 1.0}",5.0,126.36743393009378,139,-17.36999147485081,-15,10.309271470004468,-40,5
7.5,1080,0.0,5.979629629629629,39.4537037037037,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 1.0}",5.0,126.67592592592592,144,-19.89814814814815,-20.0,9.619199806040156,-40,0
7.75,815,0.0,6.413496932515337,44.752147239263806,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 1.0}",5.0,126.55337423312884,140,-22.067484662576685,-25,9.517944280217481,-40,-5
8.0,623,0.0,6.900481540930979,50.52166934189406,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 1.0}",5.0,126.65650080256822,141,-24.502407704654896,-25,8.52891303377457,-40,-10
8.25,334,0.0,7.586826347305389,59.958083832335326,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 1.0}",5.0,126.55089820359281,137,-27.934131736526947,-30.0,7.754597763977953,-40,-15
8.5,222,0.0,8.018018018018019,65.74774774774775,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 1.0}",5.0,126.87837837837837,139,-30.09009009009009,-30.0,6.053381762376946,-40,-20
8.75,78,0.0,8.64102564102564,76.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 1.0}",5.0,127.23076923076923,141,-33.205128205128204,-35.0,5.8094391940688865,-40,-25
