guess,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
5.0,0.15286624203821655,1.7006369426751593,3.9554140127388533,"{'2': 0, '3': 0, '4': 0, '5': 1, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,137.40764331210192,148,0.5987261146496815,0.0,2.06887766121394,-2.0,4.0
6.0,0.18268913115295674,1.6273538156590683,4.056821935910142,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,137.4790221341262,153,0.3726461843409316,1.0,1.1870159957828532,-2.0,2.0
7.0,0.21711259754738016,1.6056298773690079,4.204849498327759,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 1, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",0,137.42279821627648,157,0.0,0.0,0.0,-0.0,-0.0
8.0,0.18849013902360168,1.6343355965082444,4.104429356611704,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 1, '9': 0, '10': 0, '11': 0, '12': 0}",1,137.52150016165535,154,0.36566440349175555,1.0,1.1974306203047196,-2.0,2.0
9.0,0.16296296296296298,1.762962962962963,4.192592592592592,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 1, '10': 0, '11': 0, '12': 0}",2,137.22222222222223,151,0.4740740740740741,0.0,2.090595964553983,-2.0,4.0
