roll,times_appeared,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
2,268,0.0,8.0,64.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 1.0, '11': 0.0, '12': 0.0}",3.0,126.20522388059702,138,-18,-18.0,0.0,-18,-18
3,531,0.0,7.0,49.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 1.0, '11': 0.0, '12': 0.0}",3.0,126.54613935969869,139,-15,-15,0.0,-15,-15
4,851,0.0,6.0,36.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 1.0, '11': 0.0, '12': 0.0}",3.0,126.42655699177438,140,-12,-12,0.0,-12,-12
5,1183,0.0,5.0,25.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 1.0, '11': 0.0, '12': 0.0}",3.0,126.48098055790364,139,-9,-9,0.0,-9,-9
6,1355,0.0,4.0,16.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 1.0, '11': 0.0, '12': 0.0}",3.0,126.5070110701107,140,-6,-6,0.0,-6,-6
7,1602,0.0,3.0,9.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 1.0, '11': 0.0, '12': 0.0}",3.0,126.62858926342072,151,-3,-3.0,0.0,-3,-3
8,1427,0.0,2.0,4.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 1.0, '11': 0.0, '12': 0.0}",3.0,126.63279607568325,141,0,0,0.0,0,0
9,1139,0.0,1.0,1.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 1.0, '11': 0.0, '12': 0.0}",3.0,126.32133450395084,141,3,3,0.0,3,3
10,810,1.0,0.0,0.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 1.0, '11': 0.0, '12': 0.0}",3.0,126.58765432098765,144,6,6.0,0.0,6,6
11,560,0.0,1.0,1.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 1.0, '11': 0.0, '12': 0.0}",3.0,126.50714285714285,142,3,3.0,0.0,3,3
12,274,0.0,2.0,4.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 1.0, '11': 0.0, '12': 0.0}",3.0,126.71532846715328,142,0,0.0,0.0,0,0
