roll,times_appeared,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
2,264,0.0,7.0,49.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.52272727272727,138,-10,-10.0,0.0,-10,-10
3,547,0.0,6.0,36.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.6654478976234,142,-8,-8,0.0,-8,-8
4,886,0.0,5.0,25.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.54740406320542,142,-6,-6.0,0.0,-6,-6
5,1114,0.0,4.0,16.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.34470377019748,142,-4,-4.0,0.0,-4,-4
6,1423,0.0,3.0,9.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.35558678847505,142,-2,-2,0.0,-2,-2
7,1627,0.0,2.0,4.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.72034419176399,142,0,0,0.0,0,0
8,1375,0.0,1.0,1.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.50909090909092,141,2,2,0.0,2,2
9,1089,1.0,0.0,0.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.43709825528008,139,4,4,0.0,4,4
10,837,0.0,1.0,1.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.50657108721624,140,2,2,0.0,2,2
11,562,0.0,2.0,4.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.85765124555161,141,0,0.0,0.0,0,0
12,276,0.0,3.0,9.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.34420289855072,136,-2,-2.0,0.0,-2,-2
