peek_average,times_appeared,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
5.0,48,0.0,2.1041666666666665,4.9375,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.3125,134,-0.20833333333333334,0.0,1.4433756729740643,-2,2
5.25,100,0.24,1.53,3.57,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.89,138,0.94,0.0,2.2284659759710506,-2,4
5.5,205,0.25853658536585367,1.224390243902439,2.4926829268292683,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.6780487804878,140,1.551219512195122,2,1.998421184582959,-2,4
5.75,340,0.16470588235294117,1.4323529411764706,2.8911764705882352,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.57058823529412,138,1.1352941176470588,2.0,1.8352308259796812,-2,4
6.0,588,0.20918367346938777,1.3741496598639455,2.8639455782312924,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.53231292517007,139,1.251700680272109,2.0,1.9771903297871871,-2,4
6.25,821,0.146163215590743,1.6565164433617539,3.904993909866017,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.59683313032886,140,0.6869671132764921,0,2.156258771099038,-4,4
6.5,1121,0.1801962533452275,1.7341659232827833,4.772524531668154,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.49955396966993,142,0.5316681534344335,0,2.6583973724369225,-6,4
6.75,1114,0.1319569120287253,2.0215439856373427,6.204667863554757,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.56104129263913,140,-0.04308797127468582,0.0,2.911996406320107,-8,4
7.0,1291,0.10069713400464755,2.3578621223857477,8.1998450813323,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.55305964368706,142,-0.715724244771495,0,3.2510786281449313,-10,4
7.25,1154,0.09532062391681109,2.6750433275563257,10.283362218370884,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.37348353552859,142,-1.3500866551126516,-2.0,3.5384843692867234,-10,4
7.5,1021,0.08521057786483839,3.0940254652301666,12.882468168462292,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.30656219392752,139,-2.188050930460333,-2,3.6401753649514776,-10,4
7.75,771,0.04798962386511025,3.509727626459144,15.488975356679637,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.43450064850843,141,-3.019455252918288,-2,3.5636527610818827,-10,4
8.0,653,0.0,3.9509954058192958,18.54823889739663,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.70750382848392,142,-3.901990811638591,-4,3.4306734864261843,-10,2
8.25,367,0.0,4.550408719346049,23.160762942779293,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.86103542234332,140,-5.100817438692098,-6,3.1376741911754134,-10,0
8.5,256,0.0,4.99609375,26.54296875,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.83203125,142,-5.9921875,-6.0,2.5204919960120455,-10,-2
8.75,98,0.0,5.163265306122449,27.755102040816325,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.05102040816327,138,-6.326530612244898,-6.0,2.1043671341131764,-10,-4
9.0,52,0.0,6.076923076923077,37.42307692307692,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 1.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.23076923076923,132,-8.153846153846153,-8.0,1.4195361764532197,-10,-6
