peek_average,times_appeared,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
5.0,50,0.0,5.94,35.74,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 1.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.4,137,-7.88,-8.0,1.3648652471424214,-10,-6
5.25,89,0.0,5.359550561797753,30.03370786516854,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 1.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.42696629213484,140,-6.719101123595506,-6,2.301129979562135,-10,-4
5.5,226,0.0,4.907079646017699,25.756637168141594,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 1.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.47345132743362,140,-5.814159292035399,-6.0,2.5958896486265757,-10,-2
5.75,360,0.0,4.461111111111111,22.122222222222224,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 1.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.35555555555555,140,-4.9222222222222225,-4.0,2.9845573862308887,-10,0
6.0,578,0.0,3.9740484429065743,18.863321799307958,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 1.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.35813148788927,141,-3.9480968858131487,-4.0,3.5074673761005526,-10,2
6.25,806,0.07196029776674938,3.333746898263027,14.646401985111662,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 1.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.65384615384616,141,-2.667493796526055,-2.0,3.7613411671553894,-10,4
6.5,1063,0.08278457196613359,3.016933207902164,12.429915333960489,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 1.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.56444026340546,144,-2.0338664158043276,-2,3.65029483227763,-10,4
6.75,1121,0.09099018733273863,2.6735057983942907,10.134701159678858,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 1.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.56556645851919,143,-1.3470115967885816,-2,3.4581699961376717,-10,4
7.0,1321,0.10976532929598788,2.4065102195306585,8.430734292202876,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 1.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.555639666919,142,-0.8130204390613172,0,3.250502997025666,-10,4
7.25,1159,0.13891285591026747,2.0560828300258844,6.546160483175151,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 1.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.52890422778258,144,-0.11216566005176877,0,3.0467597193956184,-8,4
7.5,1036,0.16216216216216217,1.6573359073359073,4.30019305019305,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 1.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.67760617760618,140,0.6853281853281853,2.0,2.4939379621107247,-6,4
7.75,790,0.17341772151898735,1.5860759493670886,3.7658227848101267,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 1.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.71012658227848,144,0.8278481012658228,2.0,2.2376508996059155,-4,4
8.0,664,0.21084337349397592,1.466867469879518,3.2349397590361444,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 1.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.56475903614458,141,1.0662650602409638,2.0,2.0831451513258274,-2,4
8.25,368,0.18478260869565216,1.3994565217391304,2.828804347826087,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 1.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.52173913043478,141,1.201086956521739,2.0,1.8683653299186265,-2,4
8.5,234,0.2264957264957265,1.235042735042735,2.4401709401709404,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 1.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.22222222222223,141,1.5299145299145298,2.0,1.9170464119194432,-2,4
8.75,90,0.26666666666666666,1.5,3.5444444444444443,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 1.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.76666666666667,140,1,0.0,2.2882209369245303,-2,4
9.0,45,0.0,1.8666666666666667,3.911111111111111,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 1.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 0.0, '12': 0.0}",2.0,126.22222222222223,140,0.26666666666666666,0,1.3211565181516327,-2,2
