roll,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
2,0.0,3.0,9.0,"{'2': 0, '3': 0, '4': 0, '5': 1, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,126.38721804511279,141,-2,-2.0,0.0,-2,-2
3,0.0,2.0,4.0,"{'2': 0, '3': 0, '4': 0, '5': 1, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,126.34195933456562,138,0,0,0.0,0,0
4,0.0,1.0,1.0,"{'2': 0, '3': 0, '4': 0, '5': 1, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,126.63329312424608,142,2,2,0.0,2,2
5,1.0,0.0,0.0,"{'2': 0, '3': 0, '4': 0, '5': 1, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,126.4632867132867,141,4,4.0,0.0,4,4
6,0.0,1.0,1.0,"{'2': 0, '3': 0, '4': 0, '5': 1, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,126.66135734072022,144,2,2.0,0.0,2,2
7,0.0,2.0,4.0,"{'2': 0, '3': 0, '4': 0, '5': 1, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,126.63814180929096,144,0,0.0,0.0,0,0
8,0.0,3.0,9.0,"{'2': 0, '3': 0, '4': 0, '5': 1, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,126.60516870064609,141,-2,-2,0.0,-2,-2
9,0.0,4.0,16.0,"{'2': 0, '3': 0, '4': 0, '5': 1, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,126.57635893011216,144,-4,-4,0.0,-4,-4
10,0.0,5.0,25.0,"{'2': 0, '3': 0, '4': 0, '5': 1, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,126.36835599505562,141,-6,-6,0.0,-6,-6
11,0.0,6.0,36.0,"{'2': 0, '3': 0, '4': 0, '5': 1, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,126.46804511278195,142,-8,-8.0,0.0,-8,-8
12,0.0,7.0,49.0,"{'2': 0, '3': 0, '4': 0, '5': 1, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",2,126.6842105263158,140,-10,-10,0.0,-10,-10
