peek_average,times_appeared,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
5.0,41,0.5365853658536586,0.4634146341463415,0.4634146341463415,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,127.1219512195122,134,6.146341463414634,8,2.019417931109805,4,8
5.25,80,0.3125,0.9375,1.4375,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,126.5,138,4.25,4.0,3.008426982891957,0,8
5.5,246,0.2682926829268293,1.1951219512195121,2.4065040650406506,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,126.30081300813008,136,3.2195121951219514,4.0,3.9642001748626776,-4,8
5.75,381,0.1994750656167979,1.695538057742782,4.582677165354331,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,126.32020997375328,138,1.2178477690288714,4,5.234229103037097,-8,8
6.0,645,0.14573643410852713,2.150387596899225,6.857364341085272,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,126.64341085271317,143,-0.6015503875968993,0,5.982193874766912,-12,8
6.25,790,0.10632911392405063,2.659493670886076,10.01139240506329,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,126.44430379746835,147,-2.6379746835443036,-4.0,6.861148750707342,-16,8
6.5,1075,0.07255813953488371,3.1404651162790698,13.073488372093022,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,126.3693023255814,144,-4.561860465116279,-4,7.1710048979767205,-20,8
6.75,1163,0.05932932072226999,3.523645743766122,16.294067067927774,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,126.61564918314703,142,-6.094582975064489,-4,7.880431540684859,-24,8
7.0,1223,0.03188879803761243,4.024529844644317,20.040883074407194,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,126.49304987735077,145,-8.09811937857727,-8,7.84570027639222,-28,8
7.25,1109,0.019837691614066726,4.497745716862038,24.578899909828674,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,126.47971145175833,144,-9.990982867448151,-8,8.345641863423214,-28,8
7.5,1046,0.0,5.016252390057361,28.859464627151052,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,126.62045889101339,140,-12.065009560229445,-12.0,7.6943762070241615,-28,4
7.75,805,0.0,5.554037267080745,34.632298136645964,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,126.63850931677018,140,-14.21614906832298,-16,7.786835911337114,-28,0
8.0,661,0.0,6.012102874432678,39.14372163388805,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,126.60363086232981,140,-16.04841149773071,-16,6.93153212676335,-28,-4
8.25,386,0.0,6.512953367875648,44.932642487046635,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,126.37305699481865,140,-18.05181347150259,-16.0,6.350572881524808,-28,-8
8.5,200,0.0,7.115,52.395,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,126.47,140,-20.46,-20.0,5.337682481316848,-28,-12
8.75,91,0.0,7.34065934065934,55.010989010989015,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,126.3956043956044,139,-21.36263736263736,-20,4.267490762904756,-28,-16
9.0,58,0.0,8.017241379310345,64.8103448275862,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,127.74137931034483,139,-24.06896551724138,-24.0,2.9490531871338748,-28,-20
