roll,times_appeared,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
2,304,0.0,9.0,81.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,126.59868421052632,137,-28,-28.0,0.0,-28,-28
3,562,0.0,8.0,64.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,126.68327402135232,140,-24,-24.0,0.0,-24,-24
4,839,0.0,7.0,49.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,126.54946364719905,140,-20,-20,0.0,-20,-20
5,1109,0.0,6.0,36.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,126.57258791704238,141,-16,-16,0.0,-16,-16
6,1349,0.0,5.0,25.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,126.48406226834692,142,-12,-12,0.0,-12,-12
7,1653,0.0,4.0,16.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,126.59225650332728,145,-8,-8,0.0,-8,-8
8,1433,0.0,3.0,9.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,126.41032798325192,142,-4,-4,0.0,-4,-4
9,1077,0.0,2.0,4.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,126.45403899721448,147,0,0,0.0,0,0
10,822,0.0,1.0,1.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,126.44038929440389,139,4,4.0,0.0,4,4
11,575,1.0,0.0,0.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,126.57391304347826,143,8,8,0.0,8,8
12,277,0.0,1.0,1.0,"{'2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0, '7': 0.0, '8': 0.0, '9': 0.0, '10': 0.0, '11': 1.0, '12': 0.0}",4.0,126.61371841155234,139,4,4,0.0,4,4
