roll,exact_hit_rate,mean_absolute_error,mean_squared_error,guess_frequency,average_deviation_guess,average_operations,maximum_operations,average_payout,median_payout,standard_deviation_payout,minimum_payout,maximum_payout
2,0.0,4.0,16.0,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,126.38697318007662,138,-2,-2,0.0,-2,-2
3,0.0,3.0,9.0,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,126.59027777777777,140,-1,-1.0,0.0,-1,-1
4,0.0,2.0,4.0,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,126.62829736211032,142,0,0.0,0.0,0,0
5,0.0,1.0,1.0,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,126.51733833177133,139,1,1,0.0,1,1
6,1.0,0.0,0.0,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,126.5091441111924,141,2,2,0.0,2,2
7,0.0,1.0,1.0,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,126.40378922439314,139,1,1,0.0,1,1
8,0.0,2.0,4.0,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,126.61294862772695,143,0,0,0.0,0,0
9,0.0,3.0,9.0,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,126.42077464788733,148,-1,-1.0,0.0,-1,-1
10,0.0,4.0,16.0,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,126.84889434889435,142,-2,-2.0,0.0,-2,-2
11,0.0,5.0,25.0,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,126.56066176470588,137,-3,-3.0,0.0,-3,-3
12,0.0,6.0,36.0,"{'2': 0, '3': 0, '4': 0, '5': 0, '6': 1, '7': 0, '8': 0, '9': 0, '10': 0, '11': 0, '12': 0}",1,126.78350515463917,140,-4,-4,0.0,-4,-4
